Origin,Destination,Hour (AM/PM),Distance,Avg Duration in Minutes,Avg Duration with Traffic in Minutes
"24.6459853,46.7146782","24.7406772,46.6947625",4 PM,13.5 km,22.0,34.4
"24.6459853,46.7146782","24.7406772,46.6947625",4 PM,14.7 km,19.0,42.0
"24.6459853,46.7146782","24.7406772,46.6947625",4 PM,15.8 km,27.0,35.0
"24.6459853,46.7146782","24.7406772,46.6947625",5 PM,13.5 km,22.125,33.125
"24.6459853,46.7146782","24.7406772,46.6947625",5 PM,14.9 km,22.0,30.5
"24.6459853,46.7146782","24.7406772,46.6947625",6 AM,13.5 km,22.0,20.0
"24.6459853,46.7146782","24.7406772,46.6947625",6 AM,14.7 km,19.0,24.2
"24.6459853,46.7146782","24.7406772,46.6947625",6 PM,13.5 km,22.0,28.666666666666668
"24.6459853,46.7146782","24.7406772,46.6947625",6 PM,14.7 km,19.0,23.166666666666668
"24.6459853,46.7146782","24.7406772,46.6947625",6 PM,14.9 km,23.0,23.0
"24.6459853,46.7146782","24.7406772,46.6947625",7 AM,13.5 km,22.0,28.0
"24.6459853,46.7146782","24.7406772,46.6947625",7 AM,14.2 km,22.0,28.0
"24.6459853,46.7146782","24.7406772,46.6947625",7 AM,14.7 km,19.0,30.0
"24.6459853,46.7146782","24.7406772,46.6947625",7 AM,15.1 km,21.0,28.0
"24.6459853,46.7146782","24.7406772,46.6947625",7 PM,14.7 km,19.0,24.0
"24.6459853,46.7146782","24.7406772,46.6947625",7 PM,14.9 km,21.0,22.0
"24.6459853,46.7146782","24.7406772,46.6947625",8 AM,13.5 km,22.0,34.0
"24.6459853,46.7146782","24.7406772,46.6947625",8 AM,13.7 km,23.0,35.0
"24.6459853,46.7146782","24.7406772,46.6947625",8 AM,14.7 km,19.0,35.0
"24.6459853,46.7146782","24.7406772,46.6947625",8 AM,15.2 km,26.0,31.0
"24.6459853,46.7146782","24.7406772,46.6947625",9 AM,14.2 km,21.0,29.0
"24.6459853,46.7146782","24.7406772,46.6947625",9 AM,14.7 km,19.0,34.333333333333336
"24.7012889,46.8298925","24.7674375,46.6430625",1 PM,30.3 km,31.0,43.5
"24.7012889,46.8298925","24.7674375,46.6430625",1 PM,31.1 km,37.0,40.0
"24.7012889,46.8298925","24.7674375,46.6430625",1 PM,31.5 km,38.0,40.0
"24.7012889,46.8298925","24.7674375,46.6430625",10 AM,30.5 km,32.0,42.666666666666664
"24.7012889,46.8298925","24.7674375,46.6430625",10 AM,31.1 km,43.0,45.0
"24.7012889,46.8298925","24.7674375,46.6430625",2 PM,31.4 km,37.0,38.0
"24.7012889,46.8298925","24.7674375,46.6430625",2 PM,31.7 km,39.0,38.333333333333336
"24.7012889,46.8298925","24.7674375,46.6430625",3 PM,30.3 km,31.0,45.0
"24.7012889,46.8298925","24.7674375,46.6430625",3 PM,31.4 km,37.0,38.0
"24.7012889,46.8298925","24.7674375,46.6430625",3 PM,31.7 km,39.0,42.0
"24.7012889,46.8298925","24.7674375,46.6430625",4 PM,30.3 km,31.0,45.5
"24.7012889,46.8298925","24.7674375,46.6430625",4 PM,30.5 km,35.5,42.5
"24.7012889,46.8298925","24.7674375,46.6430625",4 PM,31.7 km,39.666666666666664,45.0
"24.7012889,46.8298925","24.7674375,46.6430625",5 PM,30.3 km,31.0,42.375
"24.7012889,46.8298925","24.7674375,46.6430625",5 PM,31.5 km,40.0,44.0
"24.7012889,46.8298925","24.7674375,46.6430625",5 PM,31.7 km,39.0,42.0
"24.7012889,46.8298925","24.7674375,46.6430625",6 AM,30.3 km,31.0,42.0
"24.7012889,46.8298925","24.7674375,46.6430625",6 AM,30.5 km,33.5,43.0
"24.7012889,46.8298925","24.7674375,46.6430625",6 AM,30.6 km,35.0,45.0
"24.7012889,46.8298925","24.7674375,46.6430625",6 AM,31.6 km,39.0,37.0
"24.7012889,46.8298925","24.7674375,46.6430625",6 PM,30.3 km,31.0,32.5
"24.7012889,46.8298925","24.7674375,46.6430625",6 PM,31.5 km,40.0,42.0
"24.7012889,46.8298925","24.7674375,46.6430625",6 PM,31.7 km,40.0,41.0
"24.7012889,46.8298925","24.7674375,46.6430625",6 PM,33.1 km,37.0,40.75
"24.7012889,46.8298925","24.7674375,46.6430625",7 AM,29.9 km,43.0,51.0
"24.7012889,46.8298925","24.7674375,46.6430625",7 AM,30.0 km,43.0,54.0
"24.7012889,46.8298925","24.7674375,46.6430625",7 AM,30.5 km,35.0,56.0
"24.7012889,46.8298925","24.7674375,46.6430625",7 AM,30.8 km,45.0,58.0
"24.7012889,46.8298925","24.7674375,46.6430625",7 AM,31.7 km,42.0,49.0
"24.7012889,46.8298925","24.7674375,46.6430625",7 AM,31.8 km,45.0,52.0
"24.7012889,46.8298925","24.7674375,46.6430625",7 PM,30.3 km,31.0,36.5
"24.7012889,46.8298925","24.7674375,46.6430625",8 AM,31.0 km,44.0,59.0
"24.7012889,46.8298925","24.7674375,46.6430625",8 AM,31.7 km,40.0,55.0
"24.7012889,46.8298925","24.7674375,46.6430625",8 AM,32.6 km,41.0,55.0
"24.7012889,46.8298925","24.7674375,46.6430625",8 AM,33.2 km,48.0,51.0
"24.7012889,46.8298925","24.7674375,46.6430625",8 AM,33.6 km,43.0,55.0
"24.7012889,46.8298925","24.7674375,46.6430625",8 AM,33.7 km,47.0,57.0
"24.7012889,46.8298925","24.7674375,46.6430625",9 AM,31.0 km,44.0,53.0
"24.7012889,46.8298925","24.7674375,46.6430625",9 AM,31.1 km,43.0,53.0
"24.7012889,46.8298925","24.7674375,46.6430625",9 AM,31.2 km,42.0,51.0
"24.7012889,46.8298925","24.7674375,46.6430625",9 AM,31.6 km,41.0,46.0
"24.7012889,46.8298925","24.7674375,46.6430625",9 AM,34.1 km,45.0,60.0
"24.7102105,46.6283024","24.7930073,46.8364015",1 PM,27.5 km,26.0,35.6
"24.7102105,46.6283024","24.7930073,46.8364015",1 PM,32.3 km,32.0,38.0
"24.7102105,46.6283024","24.7930073,46.8364015",10 AM,27.5 km,26.0,26.25
"24.7102105,46.6283024","24.7930073,46.8364015",2 PM,27.5 km,26.0,44.666666666666664
"24.7102105,46.6283024","24.7930073,46.8364015",2 PM,37.1 km,36.0,44.0
