Origin,Destination,Hour (AM/PM),Distance,Avg Duration in Minutes,Avg Duration with Traffic in Minutes
"24.8296182,46.616385","24.5601699,46.7762684",5 PM,62.4 km,59.0,96.66666666666667
"24.8296182,46.616385","24.5601699,46.7762684",6 AM,46.7 km,54.0,46.5
"24.8296182,46.616385","24.5601699,46.7762684",6 AM,53.7 km,58.0,55.5
"24.8296182,46.616385","24.5601699,46.7762684",6 AM,54.0 km,59.5,51.0
"24.8296182,46.616385","24.5601699,46.7762684",6 PM,46.7 km,54.0,77.5
"24.8296182,46.616385","24.5601699,46.7762684",6 PM,47.1 km,62.0,82.0
"24.8296182,46.616385","24.5601699,46.7762684",6 PM,53.7 km,58.0,87.0
"24.8296182,46.616385","24.5601699,46.7762684",6 PM,53.8 km,59.0,73.0
"24.8296182,46.616385","24.5601699,46.7762684",6 PM,62.4 km,59.0,76.0
"24.8296182,46.616385","24.5601699,46.7762684",7 AM,46.7 km,54.0,62.0
"24.8296182,46.616385","24.5601699,46.7762684",7 AM,53.7 km,58.0,62.25
"24.8296182,46.616385","24.5601699,46.7762684",7 AM,53.9 km,59.0,60.0
"24.8296182,46.616385","24.5601699,46.7762684",7 PM,53.8 km,59.0,75.0
"24.8296182,46.616385","24.5601699,46.7762684",7 PM,62.4 km,59.0,75.0
"24.8296182,46.616385","24.5601699,46.7762684",8 AM,46.7 km,54.0,60.0
"24.8296182,46.616385","24.5601699,46.7762684",8 AM,53.7 km,58.0,58.25
"24.8296182,46.616385","24.5601699,46.7762684",8 AM,53.8 km,59.0,55.0
"24.8296182,46.616385","24.5601699,46.7762684",9 AM,53.7 km,58.0,59.333333333333336
"24.961072,46.6987871","24.7674375,46.6430625",1 PM,31.2 km,24.0,26.0
"24.961072,46.6987871","24.7674375,46.6430625",1 PM,32.6 km,27.2,27.0
"24.961072,46.6987871","24.7674375,46.6430625",10 AM,31.7 km,27.0,27.333333333333332
"24.961072,46.6987871","24.7674375,46.6430625",10 AM,32.6 km,28.0,29.0
"24.961072,46.6987871","24.7674375,46.6430625",2 PM,32.1 km,29.0,30.0
"24.961072,46.6987871","24.7674375,46.6430625",2 PM,32.6 km,27.0,30.333333333333332
"24.961072,46.6987871","24.7674375,46.6430625",3 PM,32.6 km,28.0,31.0
"24.961072,46.6987871","24.7674375,46.6430625",4 PM,31.2 km,24.0,32.25
"24.961072,46.6987871","24.7674375,46.6430625",4 PM,32.6 km,27.0,34.0
"24.961072,46.6987871","24.7674375,46.6430625",4 PM,32.7 km,28.0,32.0
"24.961072,46.6987871","24.7674375,46.6430625",5 PM,31.2 km,24.0,30.25
"24.961072,46.6987871","24.7674375,46.6430625",5 PM,32.6 km,28.333333333333332,32.666666666666664
"24.961072,46.6987871","24.7674375,46.6430625",6 AM,31.2 km,24.0,23.0
"24.961072,46.6987871","24.7674375,46.6430625",6 PM,31.2 km,24.0,26.3
"24.961072,46.6987871","24.7674375,46.6430625",7 AM,31.2 km,24.0,27.5
"24.961072,46.6987871","24.7674375,46.6430625",7 AM,32.6 km,27.75,33.25
"24.961072,46.6987871","24.7674375,46.6430625",7 PM,31.2 km,24.0,25.0
"24.961072,46.6987871","24.7674375,46.6430625",8 AM,32.1 km,29.75,32.5
"24.961072,46.6987871","24.7674375,46.6430625",8 AM,32.6 km,30.0,34.0
"24.961072,46.6987871","24.7674375,46.6430625",9 AM,31.7 km,27.0,29.0
"24.961072,46.6987871","24.7674375,46.6430625",9 AM,32.6 km,30.0,33.8
