Origin,Destination,Hour (AM/PM),Distance,Avg Duration in Minutes,Avg Duration with Traffic in Minutes
"24.7674375,46.6430625","24.961072,46.6987871",4 PM,32.5 km,34.0,46.0
"24.7674375,46.6430625","24.961072,46.6987871",4 PM,34.5 km,32.0,38.166666666666664
"24.7674375,46.6430625","24.961072,46.6987871",5 PM,32.3 km,34.0,41.0
"24.7674375,46.6430625","24.961072,46.6987871",5 PM,33.1 km,35.0,38.0
"24.7674375,46.6430625","24.961072,46.6987871",5 PM,34.5 km,32.0,41.77777777777778
"24.7674375,46.6430625","24.961072,46.6987871",6 AM,31.8 km,31.0,27.166666666666668
"24.7674375,46.6430625","24.961072,46.6987871",6 PM,31.8 km,31.0,37.75
"24.7674375,46.6430625","24.961072,46.6987871",6 PM,33.1 km,35.0,37.0
"24.7674375,46.6430625","24.961072,46.6987871",6 PM,34.5 km,32.0,35.166666666666664
"24.7674375,46.6430625","24.961072,46.6987871",7 AM,31.8 km,31.0,28.166666666666668
"24.7674375,46.6430625","24.961072,46.6987871",7 PM,31.8 km,31.0,38.0
"24.7674375,46.6430625","24.961072,46.6987871",7 PM,34.5 km,32.0,33.0
"24.7674375,46.6430625","24.961072,46.6987871",8 AM,31.8 km,31.0,28.0
"24.7674375,46.6430625","24.961072,46.6987871",9 AM,31.8 km,31.0,28.333333333333332
"24.8296182,46.616385","24.5914692,46.5433147",1 PM,39.7 km,35.0,35.0
"24.8296182,46.616385","24.5914692,46.5433147",1 PM,43.2 km,38.0,36.333333333333336
"24.8296182,46.616385","24.5914692,46.5433147",2 PM,43.2 km,38.0,41.75
"24.8296182,46.616385","24.5914692,46.5433147",3 PM,39.8 km,38.0,46.0
"24.8296182,46.616385","24.5914692,46.5433147",3 PM,43.2 km,38.0,44.0
"24.8296182,46.616385","24.5914692,46.5433147",4 PM,41.7 km,39.5,56.5
"24.8296182,46.616385","24.5914692,46.5433147",4 PM,43.2 km,38.0,56.0
"24.8296182,46.616385","24.5914692,46.5433147",4 PM,43.7 km,41.0,52.666666666666664
"24.8296182,46.616385","24.5914692,46.5433147",4 PM,47.1 km,41.0,58.0
"24.8296182,46.616385","24.5914692,46.5433147",5 PM,39.7 km,35.0,61.666666666666664
"24.8296182,46.616385","24.5914692,46.5433147",5 PM,39.8 km,37.0,57.0
"24.8296182,46.616385","24.5914692,46.5433147",5 PM,41.7 km,40.0,56.0
"24.8296182,46.616385","24.5914692,46.5433147",5 PM,43.2 km,38.0,59.0
"24.8296182,46.616385","24.5914692,46.5433147",5 PM,43.7 km,42.0,54.0
"24.8296182,46.616385","24.5914692,46.5433147",6 AM,39.7 km,35.0,31.166666666666668
"24.8296182,46.616385","24.5914692,46.5433147",6 PM,39.8 km,37.5,41.5
"24.8296182,46.616385","24.5914692,46.5433147",6 PM,41.7 km,39.0,44.0
"24.8296182,46.616385","24.5914692,46.5433147",6 PM,43.2 km,38.0,50.166666666666664
"24.8296182,46.616385","24.5914692,46.5433147",6 PM,47.1 km,41.0,48.333333333333336
"24.8296182,46.616385","24.5914692,46.5433147",7 AM,39.7 km,35.0,34.0
"24.8296182,46.616385","24.5914692,46.5433147",7 AM,43.5 km,39.0,34.8
"24.8296182,46.616385","24.5914692,46.5433147",7 PM,39.8 km,37.0,39.0
"24.8296182,46.616385","24.5914692,46.5433147",7 PM,43.2 km,38.0,45.0
"24.8296182,46.616385","24.5914692,46.5433147",8 AM,39.7 km,35.0,35.0
"24.8296182,46.616385","24.5914692,46.5433147",8 AM,43.5 km,39.0,36.0
"24.8296182,46.616385","24.5914692,46.5433147",9 AM,43.5 km,39.0,34.5
"24.8296182,46.616385","24.6459853,46.7146782",1 PM,30.2 km,37.0,44.5
"24.8296182,46.616385","24.6459853,46.7146782",1 PM,32.7 km,41.0,47.0
"24.8296182,46.616385","24.6459853,46.7146782",2 PM,30.2 km,37.0,49.0
"24.8296182,46.616385","24.6459853,46.7146782",2 PM,39.8 km,41.5,46.5
"24.8296182,46.616385","24.6459853,46.7146782",2 PM,40.2 km,41.0,46.0
"24.8296182,46.616385","24.6459853,46.7146782",3 PM,30.2 km,37.0,60.0
"24.8296182,46.616385","24.6459853,46.7146782",3 PM,39.7 km,40.0,48.0
"24.8296182,46.616385","24.6459853,46.7146782",3 PM,39.8 km,41.5,53.5
"24.8296182,46.616385","24.6459853,46.7146782",4 PM,33.2 km,39.0,71.0
"24.8296182,46.616385","24.6459853,46.7146782",4 PM,42.4 km,49.0,63.0
"24.8296182,46.616385","24.6459853,46.7146782",4 PM,43.4 km,45.0,64.0
"24.8296182,46.616385","24.6459853,46.7146782",4 PM,43.7 km,46.0,60.0
"24.8296182,46.616385","24.6459853,46.7146782",5 PM,30.2 km,37.0,70.0
"24.8296182,46.616385","24.6459853,46.7146782",5 PM,38.6 km,46.0,63.5
"24.8296182,46.616385","24.6459853,46.7146782",5 PM,38.7 km,47.0,62.0
"24.8296182,46.616385","24.6459853,46.7146782",5 PM,39.7 km,40.0,66.0
"24.8296182,46.616385","24.6459853,46.7146782",5 PM,39.9 km,42.0,70.0
"24.8296182,46.616385","24.6459853,46.7146782",5 PM,40.6 km,45.0,68.0
"24.8296182,46.616385","24.6459853,46.7146782",5 PM,41.6 km,47.0,70.0
"24.8296182,46.616385","24.6459853,46.7146782",5 PM,42.4 km,48.0,62.0
"24.8296182,46.616385","24.6459853,46.7146782",5 PM,42.5 km,49.0,56.0
"24.8296182,46.616385","24.6459853,46.7146782",5 PM,43.8 km,44.0,67.0
"24.8296182,46.616385","24.6459853,46.7146782",6 AM,30.2 km,37.0,30.0
"24.8296182,46.616385","24.6459853,46.7146782",6 AM,33.2 km,39.0,41.333333333333336
"24.8296182,46.616385","24.6459853,46.7146782",6 AM,40.4 km,43.0,40.0
"24.8296182,46.616385","24.6459853,46.7146782",6 PM,30.2 km,37.0,60.0
"24.8296182,46.616385","24.6459853,46.7146782",6 PM,30.7 km,39.0,60.0
"24.8296182,46.616385","24.6459853,46.7146782",6 PM,33.2 km,39.0,58.0
"24.8296182,46.616385","24.6459853,46.7146782",6 PM,33.4 km,45.0,57.0
"24.8296182,46.616385","24.6459853,46.7146782",6 PM,38.6 km,45.0,64.0
"24.8296182,46.616385","24.6459853,46.7146782",6 PM,40.6 km,45.0,51.0
"24.8296182,46.616385","24.6459853,46.7146782",6 PM,41.6 km,47.0,52.0
"24.8296182,46.616385","24.6459853,46.7146782",6 PM,42.5 km,49.0,56.5
"24.8296182,46.616385","24.6459853,46.7146782",6 PM,45.4 km,50.0,54.0
"24.8296182,46.616385","24.6459853,46.7146782",7 AM,30.4 km,37.0,50.5
"24.8296182,46.616385","24.6459853,46.7146782",7 AM,33.2 km,39.0,50.0
"24.8296182,46.616385","24.6459853,46.7146782",7 AM,39.9 km,41.0,45.0
"24.8296182,46.616385","24.6459853,46.7146782",7 AM,43.8 km,44.0,46.0
"24.8296182,46.616385","24.6459853,46.7146782",7 PM,33.2 km,39.0,62.0
"24.8296182,46.616385","24.6459853,46.7146782",7 PM,39.9 km,44.0,49.0
"24.8296182,46.616385","24.6459853,46.7146782",8 AM,30.2 km,37.0,50.0
"24.8296182,46.616385","24.6459853,46.7146782",8 AM,32.4 km,40.0,51.0
"24.8296182,46.616385","24.6459853,46.7146782",8 AM,33.2 km,39.0,51.0
"24.8296182,46.616385","24.6459853,46.7146782",8 AM,34.4 km,39.0,48.0
"24.8296182,46.616385","24.6459853,46.7146782",9 AM,30.2 km,37.0,49.0
"24.8296182,46.616385","24.6459853,46.7146782",9 AM,32.4 km,40.0,46.0
"24.8296182,46.616385","24.6459853,46.7146782",9 AM,33.2 km,39.0,46.666666666666664
"24.8296182,46.616385","24.7012889,46.8298925",1 PM,41.5 km,43.4,47.0
"24.8296182,46.616385","24.7012889,46.8298925",2 PM,42.8 km,46.0,54.0
"24.8296182,46.616385","24.7012889,46.8298925",2 PM,44.7 km,54.0,59.0
"24.8296182,46.616385","24.7012889,46.8298925",2 PM,48.0 km,57.0,58.0
"24.8296182,46.616385","24.7012889,46.8298925",2 PM,49.2 km,53.0,53.0
"24.8296182,46.616385","24.7012889,46.8298925",3 PM,41.8 km,50.0,63.0
"24.8296182,46.616385","24.7012889,46.8298925",3 PM,44.7 km,54.0,68.0
"24.8296182,46.616385","24.7012889,46.8298925",3 PM,47.9 km,57.0,61.0
"24.8296182,46.616385","24.7012889,46.8298925",3 PM,48.0 km,57.0,59.0
"24.8296182,46.616385","24.7012889,46.8298925",4 PM,41.5 km,43.333333333333336,69.66666666666667
"24.8296182,46.616385","24.7012889,46.8298925",4 PM,43.6 km,48.0,68.0
"24.8296182,46.616385","24.7012889,46.8298925",4 PM,44.8 km,51.0,67.0
"24.8296182,46.616385","24.7012889,46.8298925",4 PM,45.2 km,50.0,67.0
"24.8296182,46.616385","24.7012889,46.8298925",4 PM,45.8 km,55.0,70.0
"24.8296182,46.616385","24.7012889,46.8298925",5 PM,40.9 km,45.5,69.0
"24.8296182,46.616385","24.7012889,46.8298925",5 PM,43.6 km,47.0,68.5
"24.8296182,46.616385","24.7012889,46.8298925",5 PM,43.7 km,50.0,67.0
"24.8296182,46.616385","24.7012889,46.8298925",5 PM,44.4 km,47.0,68.33333333333333
"24.8296182,46.616385","24.7012889,46.8298925",5 PM,44.8 km,50.0,72.0
"24.8296182,46.616385","24.7012889,46.8298925",5 PM,45.2 km,49.0,67.0
"24.8296182,46.616385","24.7012889,46.8298925",5 PM,47.9 km,52.0,66.0
"24.8296182,46.616385","24.7012889,46.8298925",6 AM,41.5 km,43.0,36.0
"24.8296182,46.616385","24.7012889,46.8298925",6 AM,41.6 km,43.0,36.75
"24.8296182,46.616385","24.7012889,46.8298925",6 AM,41.7 km,43.0,40.0
"24.8296182,46.616385","24.7012889,46.8298925",6 PM,40.9 km,47.0,62.0
"24.8296182,46.616385","24.7012889,46.8298925",6 PM,41.5 km,43.5,69.0
"24.8296182,46.616385","24.7012889,46.8298925",6 PM,41.6 km,43.5,62.75
"24.8296182,46.616385","24.7012889,46.8298925",6 PM,42.4 km,46.0,59.0
"24.8296182,46.616385","24.7012889,46.8298925",6 PM,43.0 km,49.0,57.0
"24.8296182,46.616385","24.7012889,46.8298925",6 PM,43.2 km,46.0,62.0
"24.8296182,46.616385","24.7012889,46.8298925",6 PM,45.6 km,55.0,66.0
"24.8296182,46.616385","24.7012889,46.8298925",7 AM,41.5 km,43.0,50.0
"24.8296182,46.616385","24.7012889,46.8298925",7 AM,41.6 km,43.0,48.0
"24.8296182,46.616385","24.7012889,46.8298925",7 PM,41.6 km,43.5,59.0
"24.8296182,46.616385","24.7012889,46.8298925",8 AM,41.6 km,43.333333333333336,42.833333333333336
"24.8296182,46.616385","24.7012889,46.8298925",9 AM,41.5 km,43.0,44.5
"24.8296182,46.616385","24.7012889,46.8298925",9 AM,41.6 km,43.0,43.5
"24.8296182,46.616385","24.7102105,46.6283024",1 PM,27.0 km,26.0,24.2
"24.8296182,46.616385","24.7102105,46.6283024",2 PM,27.0 km,26.0,24.25
"24.8296182,46.616385","24.7102105,46.6283024",3 PM,27.0 km,26.0,26.5
"24.8296182,46.616385","24.7102105,46.6283024",4 PM,27.0 km,27.0,30.0
"24.8296182,46.616385","24.7102105,46.6283024",4 PM,30.9 km,30.5,29.833333333333332
"24.8296182,46.616385","24.7102105,46.6283024",5 PM,26.4 km,29.0,30.25
"24.8296182,46.616385","24.7102105,46.6283024",5 PM,27.0 km,27.0,29.75
"24.8296182,46.616385","24.7102105,46.6283024",5 PM,30.9 km,30.333333333333332,28.333333333333332
"24.8296182,46.616385","24.7102105,46.6283024",6 AM,27.0 km,26.0,23.333333333333332
"24.8296182,46.616385","24.7102105,46.6283024",6 PM,26.4 km,29.0,29.333333333333332
"24.8296182,46.616385","24.7102105,46.6283024",6 PM,27.0 km,26.0,26.8
"24.8296182,46.616385","24.7102105,46.6283024",6 PM,30.9 km,30.0,28.0
"24.8296182,46.616385","24.7102105,46.6283024",7 AM,27.0 km,26.0,26.0
"24.8296182,46.616385","24.7102105,46.6283024",7 AM,30.9 km,30.0,28.4
"24.8296182,46.616385","24.7102105,46.6283024",7 PM,26.4 km,29.0,29.0
"24.8296182,46.616385","24.7102105,46.6283024",7 PM,27.0 km,26.0,26.0
"24.8296182,46.616385","24.7102105,46.6283024",8 AM,27.0 km,26.0,28.0
"24.8296182,46.616385","24.7102105,46.6283024",8 AM,30.9 km,30.0,28.333333333333332
"24.8296182,46.616385","24.7102105,46.6283024",9 AM,30.9 km,30.0,27.0
"24.8296182,46.616385","24.7221189,46.8611355",1 PM,42.4 km,47.0,45.5
"24.8296182,46.616385","24.7221189,46.8611355",1 PM,43.7 km,43.0,47.0
"24.8296182,46.616385","24.7221189,46.8611355",2 PM,42.4 km,47.0,49.0
"24.8296182,46.616385","24.7221189,46.8611355",2 PM,43.7 km,43.0,47.0
"24.8296182,46.616385","24.7221189,46.8611355",3 PM,42.4 km,47.0,55.0
"24.8296182,46.616385","24.7221189,46.8611355",3 PM,43.7 km,43.0,54.0
"24.8296182,46.616385","24.7221189,46.8611355",4 PM,42.4 km,47.0,61.57142857142857
"24.8296182,46.616385","24.7221189,46.8611355",5 PM,42.4 km,47.0,61.57142857142857
"24.8296182,46.616385","24.7221189,46.8611355",5 PM,45.1 km,49.0,63.0
"24.8296182,46.616385","24.7221189,46.8611355",5 PM,45.5 km,51.0,60.0
"24.8296182,46.616385","24.7221189,46.8611355",5 PM,46.3 km,47.0,60.0
"24.8296182,46.616385","24.7221189,46.8611355",6 AM,46.0 km,44.0,40.333333333333336
"24.8296182,46.616385","24.7221189,46.8611355",6 PM,42.4 km,47.0,58.8
"24.8296182,46.616385","24.7221189,46.8611355",6 PM,43.7 km,43.0,60.0
"24.8296182,46.616385","24.7221189,46.8611355",6 PM,50.4 km,46.0,55.0
"24.8296182,46.616385","24.7221189,46.8611355",7 AM,43.4 km,44.0,49.0
"24.8296182,46.616385","24.7221189,46.8611355",7 AM,43.7 km,43.0,53.0
"24.8296182,46.616385","24.7221189,46.8611355",7 AM,46.0 km,44.0,50.0
"24.8296182,46.616385","24.7221189,46.8611355",7 PM,50.4 km,46.0,55.5
"24.8296182,46.616385","24.7221189,46.8611355",8 AM,43.4 km,44.0,42.0
"24.8296182,46.616385","24.7221189,46.8611355",8 AM,43.5 km,44.0,39.0
"24.8296182,46.616385","24.7221189,46.8611355",9 AM,43.4 km,44.0,45.0
"24.8296182,46.616385","24.7221189,46.8611355",9 AM,43.7 km,43.0,44.5
"24.8296182,46.616385","24.7221189,46.8611355",9 AM,50.1 km,47.0,42.0
"24.8296182,46.616385","24.7406772,46.6947625",1 PM,22.1 km,26.0,30.0
"24.8296182,46.616385","24.7406772,46.6947625",1 PM,23.4 km,26.0,31.0
"24.8296182,46.616385","24.7406772,46.6947625",1 PM,23.5 km,26.0,29.5
"24.8296182,46.616385","24.7406772,46.6947625",2 PM,23.5 km,26.0,29.0
"24.8296182,46.616385","24.7406772,46.6947625",2 PM,24.9 km,28.0,31.666666666666668
"24.8296182,46.616385","24.7406772,46.6947625",3 PM,23.4 km,26.0,37.0
"24.8296182,46.616385","24.7406772,46.6947625",3 PM,24.9 km,29.0,33.0
"24.8296182,46.616385","24.7406772,46.6947625",4 PM,23.4 km,26.333333333333332,42.333333333333336
"24.8296182,46.616385","24.7406772,46.6947625",4 PM,24.9 km,28.666666666666668,40.666666666666664
"24.8296182,46.616385","24.7406772,46.6947625",4 PM,25.5 km,30.0,37.0
"24.8296182,46.616385","24.7406772,46.6947625",5 PM,23.4 km,27.0,42.0
"24.8296182,46.616385","24.7406772,46.6947625",5 PM,23.5 km,27.0,40.0
"24.8296182,46.616385","24.7406772,46.6947625",5 PM,24.6 km,31.0,40.0
"24.8296182,46.616385","24.7406772,46.6947625",5 PM,24.9 km,28.75,40.75
"24.8296182,46.616385","24.7406772,46.6947625",5 PM,25.5 km,30.5,39.5
"24.8296182,46.616385","24.7406772,46.6947625",6 AM,20.9 km,29.0,28.0
"24.8296182,46.616385","24.7406772,46.6947625",6 AM,22.1 km,26.0,22.0
"24.8296182,46.616385","24.7406772,46.6947625",6 AM,23.4 km,26.0,30.0
"24.8296182,46.616385","24.7406772,46.6947625",6 PM,20.9 km,29.0,41.0
"24.8296182,46.616385","24.7406772,46.6947625",6 PM,22.1 km,26.0,32.0
"24.8296182,46.616385","24.7406772,46.6947625",6 PM,22.7 km,28.0,31.0
"24.8296182,46.616385","24.7406772,46.6947625",6 PM,23.4 km,26.0,39.0
"24.8296182,46.616385","24.7406772,46.6947625",6 PM,23.5 km,27.0,37.0
"24.8296182,46.616385","24.7406772,46.6947625",6 PM,24.6 km,31.0,34.0
"24.8296182,46.616385","24.7406772,46.6947625",6 PM,24.9 km,29.0,36.0
"24.8296182,46.616385","24.7406772,46.6947625",6 PM,25.6 km,30.0,37.0
"24.8296182,46.616385","24.7406772,46.6947625",6 PM,26.3 km,32.0,36.0
"24.8296182,46.616385","24.7406772,46.6947625",7 AM,20.9 km,29.0,31.333333333333332
"24.8296182,46.616385","24.7406772,46.6947625",7 AM,21.8 km,32.0,31.0
"24.8296182,46.616385","24.7406772,46.6947625",7 AM,23.4 km,26.0,34.0
"24.8296182,46.616385","24.7406772,46.6947625",7 PM,20.9 km,29.0,37.0
"24.8296182,46.616385","24.7406772,46.6947625",7 PM,22.1 km,26.0,35.0
"24.8296182,46.616385","24.7406772,46.6947625",8 AM,23.4 km,26.0,30.5
"24.8296182,46.616385","24.7406772,46.6947625",9 AM,23.4 km,26.0,30.333333333333332
"24.8296182,46.616385","24.7674375,46.6430625",1 PM,16.7 km,22.0,21.0
"24.8296182,46.616385","24.7674375,46.6430625",2 PM,16.7 km,22.5,23.0
"24.8296182,46.616385","24.7674375,46.6430625",3 PM,16.7 km,22.0,23.5
"24.8296182,46.616385","24.7674375,46.6430625",4 PM,16.7 km,22.571428571428573,27.285714285714285
"24.8296182,46.616385","24.7674375,46.6430625",5 PM,16.7 km,22.454545454545453,26.181818181818183
"24.8296182,46.616385","24.7674375,46.6430625",6 AM,16.7 km,22.0,21.0
"24.8296182,46.616385","24.7674375,46.6430625",6 AM,18.8 km,30.0,25.0
"24.8296182,46.616385","24.7674375,46.6430625",6 AM,18.9 km,28.5,27.0
"24.8296182,46.616385","24.7674375,46.6430625",6 PM,16.7 km,22.0,22.916666666666668
"24.8296182,46.616385","24.7674375,46.6430625",7 AM,16.7 km,23.333333333333332,26.0
"24.8296182,46.616385","24.7674375,46.6430625",7 AM,18.9 km,29.0,27.0
"24.8296182,46.616385","24.7674375,46.6430625",7 AM,20.7 km,25.0,27.0
"24.8296182,46.616385","24.7674375,46.6430625",7 PM,16.7 km,22.0,23.5
"24.8296182,46.616385","24.7674375,46.6430625",8 AM,18.9 km,29.0,26.666666666666668
"24.8296182,46.616385","24.7674375,46.6430625",8 AM,20.7 km,25.0,29.666666666666668
"24.8296182,46.616385","24.7674375,46.6430625",9 AM,16.7 km,22.0,28.75
"24.8296182,46.616385","24.7674375,46.6430625",9 AM,20.7 km,25.0,28.0
"24.8296182,46.616385","24.7930073,46.8364015",1 PM,41.7 km,39.0,40.8
"24.8296182,46.616385","24.7930073,46.8364015",2 PM,41.7 km,39.0,43.0
"24.8296182,46.616385","24.7930073,46.8364015",3 PM,41.7 km,39.0,46.0
"24.8296182,46.616385","24.7930073,46.8364015",3 PM,52.1 km,47.0,49.0
"24.8296182,46.616385","24.7930073,46.8364015",4 PM,52.1 km,48.0,49.5
"24.8296182,46.616385","24.7930073,46.8364015",4 PM,52.3 km,49.0,49.0
"24.8296182,46.616385","24.7930073,46.8364015",4 PM,52.4 km,49.0,51.0
"24.8296182,46.616385","24.7930073,46.8364015",5 PM,41.4 km,40.0,55.0
"24.8296182,46.616385","24.7930073,46.8364015",5 PM,52.1 km,47.333333333333336,52.333333333333336
"24.8296182,46.616385","24.7930073,46.8364015",5 PM,52.3 km,49.0,50.8
"24.8296182,46.616385","24.7930073,46.8364015",5 PM,52.4 km,49.0,52.5
"24.8296182,46.616385","24.7930073,46.8364015",6 AM,41.4 km,40.0,37.25
"24.8296182,46.616385","24.7930073,46.8364015",6 AM,41.7 km,39.0,35.5
"24.8296182,46.616385","24.7930073,46.8364015",6 PM,37.1 km,46.0,51.0
"24.8296182,46.616385","24.7930073,46.8364015",6 PM,41.4 km,40.0,46.666666666666664
"24.8296182,46.616385","24.7930073,46.8364015",6 PM,52.1 km,47.0,50.0
"24.8296182,46.616385","24.7930073,46.8364015",7 AM,41.4 km,40.0,41.25
"24.8296182,46.616385","24.7930073,46.8364015",7 AM,41.5 km,40.0,39.5
"24.8296182,46.616385","24.7930073,46.8364015",7 PM,41.4 km,40.0,46.0
"24.8296182,46.616385","24.7930073,46.8364015",8 AM,41.4 km,40.0,38.0
"24.8296182,46.616385","24.7930073,46.8364015",8 AM,41.5 km,40.0,37.0
"24.8296182,46.616385","24.7930073,46.8364015",9 AM,41.4 km,40.0,41.0
"24.8296182,46.616385","24.7930073,46.8364015",9 AM,41.7 km,39.0,40.8
"24.8296182,46.616385","24.961072,46.6987871",1 PM,27.1 km,28.0,25.75
"24.8296182,46.616385","24.961072,46.6987871",2 PM,27.1 km,28.0,25.25
"24.8296182,46.616385","24.961072,46.6987871",3 PM,27.1 km,28.0,25.0
"24.8296182,46.616385","24.961072,46.6987871",4 PM,27.0 km,27.0,25.333333333333332
"24.8296182,46.616385","24.961072,46.6987871",4 PM,27.1 km,28.0,26.25
"24.8296182,46.616385","24.961072,46.6987871",5 PM,27.1 km,28.0,26.181818181818183
"24.8296182,46.616385","24.961072,46.6987871",6 AM,27.1 km,28.0,24.333333333333332
"24.8296182,46.616385","24.961072,46.6987871",6 PM,27.1 km,28.0,26.416666666666668
"24.8296182,46.616385","24.961072,46.6987871",7 AM,27.1 km,28.0,24.666666666666668
"24.8296182,46.616385","24.961072,46.6987871",7 PM,27.1 km,28.0,27.5
"24.8296182,46.616385","24.961072,46.6987871",8 AM,27.1 km,28.0,24.166666666666668
"24.8296182,46.616385","24.961072,46.6987871",9 AM,27.1 km,28.0,24.333333333333332
"24.961072,46.6987871","24.7012889,46.8298925",1 PM,42.0 km,35.2,45.4
"24.961072,46.6987871","24.7012889,46.8298925",2 PM,48.7 km,47.0,45.0
"24.961072,46.6987871","24.7012889,46.8298925",2 PM,48.9 km,48.0,44.666666666666664
"24.961072,46.6987871","24.7012889,46.8298925",3 PM,48.7 km,47.0,46.0
"24.961072,46.6987871","24.7012889,46.8298925",3 PM,51.7 km,51.0,53.0
"24.961072,46.6987871","24.7012889,46.8298925",3 PM,51.9 km,52.0,52.0
"24.961072,46.6987871","24.7012889,46.8298925",4 PM,48.7 km,48.0,50.0
"24.961072,46.6987871","24.7012889,46.8298925",4 PM,48.9 km,48.5,54.25
"24.961072,46.6987871","24.7012889,46.8298925",4 PM,49.1 km,49.0,53.5
"24.961072,46.6987871","24.7012889,46.8298925",5 PM,48.7 km,47.25,58.25
"24.961072,46.6987871","24.7012889,46.8298925",5 PM,48.9 km,48.8,54.2
"24.961072,46.6987871","24.7012889,46.8298925",5 PM,49.1 km,49.0,56.0
"24.961072,46.6987871","24.7012889,46.8298925",6 AM,42.0 km,35.0,30.5
"24.961072,46.6987871","24.7012889,46.8298925",6 PM,42.0 km,36.0,50.0
"24.961072,46.6987871","24.7012889,46.8298925",6 PM,48.7 km,47.0,55.0
"24.961072,46.6987871","24.7012889,46.8298925",6 PM,48.9 km,48.166666666666664,54.5
"24.961072,46.6987871","24.7012889,46.8298925",7 AM,42.0 km,35.0,39.833333333333336
"24.961072,46.6987871","24.7012889,46.8298925",7 PM,42.0 km,36.0,49.0
"24.961072,46.6987871","24.7012889,46.8298925",7 PM,48.9 km,48.0,52.0
"24.961072,46.6987871","24.7012889,46.8298925",8 AM,42.0 km,35.166666666666664,36.166666666666664
"24.961072,46.6987871","24.7012889,46.8298925",9 AM,42.0 km,35.0,35.666666666666664
"24.961072,46.6987871","24.7674375,46.6430625",1 PM,31.2 km,24.0,26.0
"24.961072,46.6987871","24.7674375,46.6430625",1 PM,32.6 km,27.0,27.0
"24.961072,46.6987871","24.7674375,46.6430625",2 PM,32.1 km,29.5,30.5
"24.961072,46.6987871","24.7674375,46.6430625",2 PM,32.6 km,27.0,29.5
"24.961072,46.6987871","24.7674375,46.6430625",3 PM,32.6 km,28.0,31.0
"24.961072,46.6987871","24.7674375,46.6430625",4 PM,31.2 km,24.0,32.2
"24.961072,46.6987871","24.7674375,46.6430625",4 PM,32.6 km,27.0,35.0
"24.961072,46.6987871","24.7674375,46.6430625",4 PM,32.7 km,28.0,32.0
"24.961072,46.6987871","24.7674375,46.6430625",5 PM,31.2 km,24.0,29.4
"24.961072,46.6987871","24.7674375,46.6430625",5 PM,32.6 km,28.333333333333332,32.333333333333336
"24.961072,46.6987871","24.7674375,46.6430625",6 AM,31.2 km,24.0,23.333333333333332
"24.961072,46.6987871","24.7674375,46.6430625",6 PM,31.2 km,24.0,26.181818181818183
"24.961072,46.6987871","24.7674375,46.6430625",6 PM,32.6 km,27.0,30.0
"24.961072,46.6987871","24.7674375,46.6430625",7 AM,31.2 km,24.0,29.0
"24.961072,46.6987871","24.7674375,46.6430625",7 AM,32.6 km,29.25,32.75
"24.961072,46.6987871","24.7674375,46.6430625",7 PM,31.2 km,24.0,25.0
"24.961072,46.6987871","24.7674375,46.6430625",8 AM,32.1 km,29.6,32.8
"24.961072,46.6987871","24.7674375,46.6430625",8 AM,32.6 km,30.0,34.0
"24.961072,46.6987871","24.7674375,46.6430625",9 AM,31.7 km,27.0,29.0
"24.961072,46.6987871","24.7674375,46.6430625",9 AM,32.6 km,30.0,34.0
