Origin,Destination,Hour (AM/PM),Distance,Avg Duration in Minutes,Avg Duration with Traffic in Minutes
"24.5914692,46.5433147","24.8296182,46.616385",1 PM,39.2 km,34.0,34.8
"24.5914692,46.5433147","24.8296182,46.616385",2 PM,39.2 km,34.0,36.75
"24.5914692,46.5433147","24.8296182,46.616385",3 PM,39.2 km,34.0,42.333333333333336
"24.5914692,46.5433147","24.8296182,46.616385",3 PM,41.7 km,36.0,45.0
"24.5914692,46.5433147","24.8296182,46.616385",4 PM,37.8 km,34.0,47.5
"24.5914692,46.5433147","24.8296182,46.616385",4 PM,39.2 km,34.0,56.5
"24.5914692,46.5433147","24.8296182,46.616385",4 PM,40.9 km,40.0,47.0
"24.5914692,46.5433147","24.8296182,46.616385",4 PM,41.7 km,36.0,54.5
"24.5914692,46.5433147","24.8296182,46.616385",5 PM,37.7 km,35.0,44.5
"24.5914692,46.5433147","24.8296182,46.616385",5 PM,37.8 km,34.0,48.5
"24.5914692,46.5433147","24.8296182,46.616385",5 PM,38.0 km,35.0,43.5
"24.5914692,46.5433147","24.8296182,46.616385",5 PM,39.2 km,34.0,47.666666666666664
"24.5914692,46.5433147","24.8296182,46.616385",5 PM,41.7 km,36.0,45.5
"24.5914692,46.5433147","24.8296182,46.616385",6 AM,45.8 km,47.0,59.0
"24.5914692,46.5433147","24.8296182,46.616385",6 AM,46.0 km,48.0,73.5
"24.5914692,46.5433147","24.8296182,46.616385",6 AM,46.9 km,48.0,69.33333333333333
"24.5914692,46.5433147","24.8296182,46.616385",6 PM,38.1 km,34.0,36.8
"24.5914692,46.5433147","24.8296182,46.616385",6 PM,39.2 km,34.0,41.25
"24.5914692,46.5433147","24.8296182,46.616385",6 PM,39.6 km,34.0,37.5
"24.5914692,46.5433147","24.8296182,46.616385",6 PM,40.3 km,35.0,41.0
"24.5914692,46.5433147","24.8296182,46.616385",7 AM,41.7 km,36.0,75.0
"24.5914692,46.5433147","24.8296182,46.616385",7 AM,42.8 km,45.0,64.0
"24.5914692,46.5433147","24.8296182,46.616385",7 AM,44.4 km,41.0,70.0
"24.5914692,46.5433147","24.8296182,46.616385",7 AM,46.3 km,50.0,75.0
"24.5914692,46.5433147","24.8296182,46.616385",7 PM,39.6 km,34.0,36.0
"24.5914692,46.5433147","24.8296182,46.616385",7 PM,42.1 km,36.0,38.0
"24.5914692,46.5433147","24.8296182,46.616385",8 AM,39.2 km,36.0,46.5
"24.5914692,46.5433147","24.8296182,46.616385",8 AM,40.8 km,41.0,53.0
"24.5914692,46.5433147","24.8296182,46.616385",8 AM,41.2 km,42.0,55.5
"24.5914692,46.5433147","24.8296182,46.616385",8 AM,42.2 km,39.0,59.0
"24.5914692,46.5433147","24.8296182,46.616385",9 AM,39.2 km,34.25,38.75
"24.5914692,46.5433147","24.8296182,46.616385",9 AM,41.2 km,42.0,39.0
"24.5914692,46.5433147","24.8296182,46.616385",9 AM,42.2 km,39.0,45.0
"24.7406772,46.6947625","24.5601699,46.7762684",1 PM,33.6 km,37.0,45.5
"24.7406772,46.6947625","24.5601699,46.7762684",1 PM,34.4 km,39.0,47.0
"24.7406772,46.6947625","24.5601699,46.7762684",2 PM,33.6 km,37.0,58.0
"24.7406772,46.6947625","24.5601699,46.7762684",2 PM,34.4 km,40.0,51.0
"24.7406772,46.6947625","24.5601699,46.7762684",2 PM,34.5 km,39.0,54.0
"24.7406772,46.6947625","24.5601699,46.7762684",2 PM,35.9 km,46.0,53.0
"24.7406772,46.6947625","24.5601699,46.7762684",3 PM,34.4 km,39.5,55.5
"24.7406772,46.6947625","24.5601699,46.7762684",3 PM,35.9 km,44.0,55.0
"24.7406772,46.6947625","24.5601699,46.7762684",3 PM,36.0 km,44.0,56.0
"24.7406772,46.6947625","24.5601699,46.7762684",4 PM,33.5 km,38.0,68.0
"24.7406772,46.6947625","24.5601699,46.7762684",4 PM,34.4 km,40.2,61.2
"24.7406772,46.6947625","24.5601699,46.7762684",4 PM,35.9 km,44.0,65.0
"24.7406772,46.6947625","24.5601699,46.7762684",5 PM,33.5 km,39.0,64.0
"24.7406772,46.6947625","24.5601699,46.7762684",5 PM,33.6 km,37.0,67.0
"24.7406772,46.6947625","24.5601699,46.7762684",5 PM,34.3 km,41.666666666666664,66.0
"24.7406772,46.6947625","24.5601699,46.7762684",5 PM,34.4 km,40.0,60.5
"24.7406772,46.6947625","24.5601699,46.7762684",6 AM,33.6 km,37.0,32.333333333333336
"24.7406772,46.6947625","24.5601699,46.7762684",6 PM,33.5 km,42.0,62.0
"24.7406772,46.6947625","24.5601699,46.7762684",6 PM,33.6 km,37.142857142857146,59.857142857142854
"24.7406772,46.6947625","24.5601699,46.7762684",6 PM,34.3 km,42.0,57.5
"24.7406772,46.6947625","24.5601699,46.7762684",6 PM,34.4 km,40.0,56.0
"24.7406772,46.6947625","24.5601699,46.7762684",7 AM,33.6 km,37.0,34.5
