,City,Datetime,TrafficIndexLive,JamsCount,JamsDelay,JamsLength,TrafficIndexWeekAgo,TravelTimeHistoric,TravelTimeLive,datetime,year,date,time
128238,Riyadh,2024-01-04 13:46:00,30,221,866.8,223.9,34.0,75.6037970143158,80.3582083479576,2024-01-04 13:46:00,2024,2024-01-04,13:46:00
128239,Riyadh,2024-01-04 14:46:00,42,298,1426.4,340.8,43.0,78.5130474642796,87.8272439438173,2024-01-04 14:46:00,2024,2024-01-04,14:46:00
128240,Riyadh,2024-01-04 15:46:00,47,324,1501.9,375.1,48.0,83.2053779525151,92.1704640250619,2024-01-04 15:46:00,2024,2024-01-04,15:46:00
128241,Riyadh,2024-01-04 16:46:00,66,566,2922.9,572.0,65.0,90.6427205199221,108.105467803808,2024-01-04 16:46:00,2024,2024-01-04,16:46:00
128242,Riyadh,2024-01-04 17:31:00,72,575,2930.9,581.3,67.0,93.8803951953466,111.246927225012,2024-01-04 17:31:00,2024,2024-01-04,17:31:00
128243,Riyadh,2024-01-04 18:31:00,63,501,2430.3,491.6,60.0,91.4477180773367,105.529032235981,2024-01-04 18:31:00,2024,2024-01-04,18:31:00
128244,Riyadh,2024-01-04 19:01:00,61,448,2054.7,456.9,57.0,88.8294801356009,103.870170365822,2024-01-04 19:01:00,2024,2024-01-04,19:01:00
128245,Riyadh,2024-01-04 20:31:00,55,470,1997.0,422.8,53.0,88.0475559965135,100.38725979485,2024-01-04 20:31:00,2024,2024-01-04,20:31:00
128246,Riyadh,2024-01-04 21:01:00,53,431,1799.0,384.0,52.0,88.9378626775671,98.5971934866314,2024-01-04 21:01:00,2024,2024-01-04,21:01:00
128262,Riyadh,2024-01-05 13:46:30,8,97,379.3,60.1,11.0,64.3229282483531,65.0191455116908,2024-01-05 13:46:30,2024,2024-01-05,13:46:30
128263,Riyadh,2024-01-05 14:31:30,13,115,536.0,103.2,16.0,64.5712547803945,67.6380793289679,2024-01-05 14:31:30,2024,2024-01-05,14:31:30
128264,Riyadh,2024-01-05 15:01:30,14,125,578.8,104.5,16.0,65.0877632856143,68.2398781759608,2024-01-05 15:01:30,2024,2024-01-05,15:01:30
128265,Riyadh,2024-01-05 16:46:00,26,245,1229.9,212.4,30.0,73.9637074117514,79.5381695860642,2024-01-05 16:46:00,2024,2024-01-05,16:46:00
128266,Riyadh,2024-01-05 17:01:00,27,242,1150.3,207.6,32.0,75.2452265354181,80.1694634730307,2024-01-05 17:01:00,2024,2024-01-05,17:01:00
128267,Riyadh,2024-01-05 18:46:00,30,252,1169.2,232.9,33.0,77.9947917139477,81.5371367590342,2024-01-05 18:46:00,2024,2024-01-05,18:46:00
128268,Riyadh,2024-01-05 19:01:00,31,244,1166.4,221.4,32.0,78.4482247361273,82.1681216129074,2024-01-05 19:01:00,2024,2024-01-05,19:01:00
128269,Riyadh,2024-01-05 20:31:00,35,269,1198.4,251.8,37.0,83.0618141311762,85.5665439018615,2024-01-05 20:31:00,2024,2024-01-05,20:31:00
128270,Riyadh,2024-01-05 21:01:00,35,252,1085.5,222.3,38.0,84.1474959543597,85.7450165184096,2024-01-05 21:01:00,2024,2024-01-05,21:01:00
128286,Riyadh,2024-01-06 13:46:30,14,125,436.3,100.6,16.0,66.6224877114713,68.3134866871533,2024-01-06 13:46:30,2024,2024-01-06,13:46:30
128287,Riyadh,2024-01-06 14:46:30,16,120,410.5,105.1,19.0,67.750546639396,70.1085755533672,2024-01-06 14:46:30,2024,2024-01-06,14:46:30
128288,Riyadh,2024-01-06 15:46:00,19,135,457.8,127.7,22.0,71.6806007404564,73.3210645125076,2024-01-06 15:46:00,2024,2024-01-06,15:46:00
128289,Riyadh,2024-01-06 16:46:00,40,327,1459.5,334.7,45.0,80.4483329501088,88.9337609052409,2024-01-06 16:46:00,2024,2024-01-06,16:46:00
128290,Riyadh,2024-01-06 17:31:00,43,342,1574.0,342.1,47.0,83.4838923500153,90.9006427446334,2024-01-06 17:31:00,2024,2024-01-06,17:31:00
128291,Riyadh,2024-01-06 18:46:00,40,344,1509.3,310.3,43.0,82.9247811687701,89.4235003136819,2024-01-06 18:46:00,2024,2024-01-06,18:46:00
