,City,Datetime,TrafficIndexLive,JamsCount,JamsDelay,JamsLength,TrafficIndexWeekAgo,TravelTimeHistoric,TravelTimeLive,datetime,year,date,time
119571,Riyadh,2023-01-01 06:46:30,25,136,538.6,173.7,25.0,,,2023-01-01 06:46:30,2023,2023-01-01,06:46:30
119572,Riyadh,2023-01-01 07:46:30,49,255,1170.2,278.5,54.0,,,2023-01-01 07:46:30,2023,2023-01-01,07:46:30
119573,Riyadh,2023-01-01 08:01:30,48,217,990.4,243.6,54.0,,,2023-01-01 08:01:30,2023,2023-01-01,08:01:30
119574,Riyadh,2023-01-01 09:16:30,33,123,485.0,173.5,34.0,,,2023-01-01 09:16:30,2023,2023-01-01,09:16:30
119575,Riyadh,2023-01-01 10:01:30,25,105,381.7,132.5,23.0,,,2023-01-01 10:01:30,2023,2023-01-01,10:01:30
119595,Riyadh,2023-01-02 06:46:30,34,172,850.5,269.0,26.0,,,2023-01-02 06:46:30,2023,2023-01-02,06:46:30
119596,Riyadh,2023-01-02 07:46:30,76,413,2310.7,484.7,52.0,,,2023-01-02 07:46:30,2023,2023-01-02,07:46:30
119597,Riyadh,2023-01-02 08:16:30,82,344,2026.5,452.1,52.0,,,2023-01-02 08:16:30,2023,2023-01-02,08:16:30
119598,Riyadh,2023-01-02 09:01:30,70,267,1280.7,347.1,31.0,,,2023-01-02 09:01:30,2023,2023-01-02,09:01:30
119599,Riyadh,2023-01-02 10:01:30,45,168,715.6,200.7,22.0,,,2023-01-02 10:01:30,2023,2023-01-02,10:01:30
119619,Riyadh,2023-01-03 06:46:30,27,42,170.5,121.5,24.0,,,2023-01-03 06:46:30,2023,2023-01-03,06:46:30
119620,Riyadh,2023-01-03 07:46:30,35,79,378.1,168.5,50.0,,,2023-01-03 07:46:30,2023,2023-01-03,07:46:30
119621,Riyadh,2023-01-03 08:01:30,35,87,410.2,142.1,49.0,,,2023-01-03 08:01:30,2023,2023-01-03,08:01:30
119622,Riyadh,2023-01-03 09:46:30,28,86,381.5,143.8,31.0,,,2023-01-03 09:46:30,2023,2023-01-03,09:46:30
119623,Riyadh,2023-01-03 10:46:30,30,111,434.5,173.6,24.0,,,2023-01-03 10:46:30,2023,2023-01-03,10:46:30
119643,Riyadh,2023-01-04 06:46:30,15,30,92.4,55.7,24.0,,,2023-01-04 06:46:30,2023,2023-01-04,06:46:30
119644,Riyadh,2023-01-04 07:46:00,23,63,235.3,103.6,49.0,,,2023-01-04 07:46:00,2023,2023-01-04,07:46:00
119645,Riyadh,2023-01-04 08:01:30,24,69,255.8,106.3,48.0,,,2023-01-04 08:01:30,2023,2023-01-04,08:01:30
119646,Riyadh,2023-01-04 09:01:30,21,68,249.2,76.7,30.0,,,2023-01-04 09:01:30,2023,2023-01-04,09:01:30
